PFA	PD
1.0	1.0
1.0	1.0
1.0	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.97	1.0
0.96	1.0
0.96	1.0
0.95	1.0
0.95	1.0
0.95	1.0
0.95	1.0
0.95	1.0
0.95	1.0
0.95	1.0
0.95	1.0
0.95	1.0
0.95	1.0
0.95	1.0
0.95	1.0
0.95	1.0
0.95	1.0
0.94	1.0
0.94	1.0
0.94	1.0
0.93	0.99
0.92	0.99
0.92	0.98
0.92	0.98
0.92	0.98
0.92	0.98
0.92	0.98
0.91	0.98
0.91	0.98
0.91	0.98
0.9	0.98
0.9	0.98
0.9	0.98
0.89	0.98
0.89	0.98
0.88	0.98
0.87	0.97
0.87	0.97
0.87	0.97
0.87	0.97
0.87	0.97
0.87	0.97
0.87	0.97
0.87	0.97
0.87	0.96
0.86	0.96
0.85	0.96
0.84	0.96
0.84	0.96
0.84	0.96
0.84	0.96
0.84	0.95
0.84	0.95
0.84	0.94
0.84	0.93
0.83	0.93
0.81	0.92
0.8	0.92
0.8	0.91
0.78	0.91
0.76	0.89
0.76	0.88
0.75	0.88
0.75	0.88
0.74	0.88
0.74	0.87
0.74	0.84
0.74	0.82
0.73	0.81
0.73	0.8
0.73	0.78
0.73	0.78
0.73	0.76
0.73	0.73
0.73	0.72
0.73	0.71
0.73	0.7
0.73	0.67
0.73	0.67
0.73	0.64
0.71	0.63
0.68	0.62
0.68	0.61
0.68	0.6
0.65	0.58
0.64	0.58
0.63	0.57
0.63	0.55
0.62	0.54
0.62	0.54
0.62	0.54
0.62	0.52
0.61	0.51
0.59	0.47
0.58	0.46
0.58	0.44
0.57	0.43
0.56	0.41
0.55	0.41
0.54	0.4
0.54	0.37
0.54	0.35
0.54	0.33
0.53	0.32
0.51	0.31
0.51	0.3
0.49	0.29
0.49	0.26
0.49	0.26
0.47	0.25
0.47	0.23
0.47	0.22
0.47	0.2
0.46	0.18
0.46	0.18
0.46	0.18
0.46	0.17
0.46	0.17
0.44	0.16
0.44	0.15
0.43	0.15
0.41	0.13
0.4	0.12
0.39	0.09
0.39	0.08
0.37	0.08
0.37	0.07
0.36	0.06
0.35	0.06
0.33	0.05
0.32	0.05
0.31	0.05
0.31	0.05
0.3	0.05
0.29	0.05
0.29	0.04
0.28	0.04
0.27	0.03
0.24	0.03
0.24	0.03
0.24	0.02
0.24	0.02
0.24	0.02
0.22	0.02
0.21	0.02
0.2	0.02
0.18	0.02
0.18	0.02
0.18	0.01
0.17	0.0
0.17	0.0
0.17	0.0
0.17	0.0
0.17	0.0
0.16	0.0
0.15	0.0
0.15	0.0
0.15	0.0
0.14	0.0
0.14	0.0
0.13	0.0
0.13	0.0
0.12	0.0
0.12	0.0
0.11	0.0
0.1	0.0
0.09	0.0
0.09	0.0
0.09	0.0
0.09	0.0
0.09	0.0
0.09	0.0
0.07	0.0
0.06	0.0
0.06	0.0
0.06	0.0
0.06	0.0
0.06	0.0
0.05	0.0
0.04	0.0
0.04	0.0
0.04	0.0
0.04	0.0
0.04	0.0
0.04	0.0
0.04	0.0
0.04	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.03	0.0
0.02	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.01	0.0
0.0	0.0
0.0	0.0
