PFA	PD
1.0	1.0
1.0	1.0
1.0	1.0
0.998	1.0
0.996	1.0
0.996	1.0
0.994	1.0
0.99	1.0
0.99	1.0
0.986	1.0
0.984	1.0
0.984	1.0
0.982	1.0
0.982	1.0
0.98	1.0
0.978	1.0
0.976	1.0
0.97	1.0
0.966	1.0
0.95	1.0
0.94	1.0
0.93	1.0
0.914	1.0
0.906	1.0
0.89	1.0
0.87	1.0
0.856	1.0
0.846	1.0
0.83	1.0
0.81	1.0
0.792	1.0
0.78	1.0
0.764	1.0
0.742	1.0
0.712	1.0
0.698	1.0
0.672	1.0
0.65	1.0
0.626	1.0
0.6	1.0
0.57	0.998
0.556	0.998
0.516	0.998
0.49	0.996
0.466	0.994
0.43	0.992
0.402	0.984
0.382	0.978
0.352	0.968
0.332	0.958
0.298	0.954
0.274	0.95
0.25	0.94
0.23	0.93
0.216	0.924
0.198	0.908
0.17	0.89
0.154	0.872
0.138	0.866
0.124	0.854
0.106	0.838
0.096	0.816
0.09	0.8
0.082	0.78
0.076	0.756
0.06	0.734
0.048	0.704
0.048	0.684
0.048	0.656
0.038	0.626
0.034	0.598
0.026	0.578
0.022	0.55
0.016	0.53
0.012	0.5
0.01	0.472
0.004	0.43
0.002	0.402
0.002	0.386
0.002	0.364
0.0	0.342
0.0	0.32
0.0	0.294
0.0	0.28
0.0	0.258
0.0	0.23
0.0	0.218
0.0	0.194
0.0	0.182
0.0	0.168
0.0	0.144
0.0	0.126
0.0	0.12
0.0	0.104
0.0	0.084
0.0	0.066
0.0	0.056
0.0	0.052
0.0	0.046
0.0	0.04
0.0	0.036
0.0	0.03
0.0	0.024
0.0	0.024
0.0	0.02
0.0	0.018
0.0	0.014
0.0	0.014
0.0	0.014
0.0	0.01
0.0	0.006
0.0	0.004
0.0	0.004
0.0	0.004
0.0	0.004
0.0	0.002
0.0	0.002
0.0	0.002
0.0	0.002
0.0	0.002
0.0	0.002
0.0	0.002
0.0	0.0
0.0	0.0
0.0	0.0
