PFA	PD
1.0	1.0
1.0	1.0
1.0	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.99	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.98	1.0
0.97	1.0
0.97	1.0
0.97	1.0
0.96	1.0
0.96	1.0
0.96	1.0
0.94	1.0
0.94	1.0
0.94	1.0
0.94	1.0
0.92	1.0
0.92	1.0
0.92	1.0
0.91	0.99
0.91	0.99
0.91	0.99
0.91	0.98
0.91	0.98
0.91	0.98
0.9	0.98
0.9	0.98
0.89	0.98
0.88	0.98
0.88	0.98
0.88	0.98
0.88	0.98
0.88	0.98
0.87	0.98
0.87	0.98
0.87	0.96
0.87	0.96
0.87	0.96
0.87	0.96
0.87	0.96
0.87	0.96
0.87	0.96
0.87	0.96
0.87	0.96
0.87	0.95
0.86	0.95
0.86	0.95
0.86	0.95
0.86	0.94
0.86	0.94
0.86	0.94
0.84	0.94
0.84	0.94
0.84	0.94
0.82	0.94
0.82	0.94
0.82	0.94
0.82	0.94
0.8	0.94
0.78	0.93
0.77	0.92
0.76	0.91
0.76	0.91
0.75	0.91
0.75	0.91
0.74	0.9
0.72	0.9
0.72	0.9
0.72	0.9
0.68	0.89
0.68	0.89
0.68	0.88
0.67	0.88
0.65	0.88
0.63	0.87
0.62	0.87
0.62	0.87
0.61	0.87
0.6	0.87
0.6	0.86
0.57	0.86
0.57	0.86
0.56	0.86
0.54	0.84
0.54	0.84
0.53	0.84
0.51	0.84
0.5	0.84
0.5	0.84
0.5	0.81
0.5	0.79
0.49	0.79
0.49	0.79
0.49	0.79
0.47	0.78
0.46	0.78
0.45	0.78
0.43	0.77
0.4	0.76
0.4	0.76
0.39	0.74
0.39	0.74
0.37	0.72
0.37	0.71
0.36	0.7
0.36	0.67
0.34	0.67
0.34	0.66
0.32	0.64
0.32	0.64
0.29	0.64
0.27	0.62
0.27	0.62
0.26	0.6
0.25	0.57
0.23	0.56
0.22	0.54
0.21	0.52
0.21	0.5
0.2	0.48
0.2	0.47
0.19	0.47
0.19	0.46
0.18	0.46
0.18	0.45
0.18	0.43
0.16	0.42
0.16	0.42
0.15	0.41
0.15	0.41
0.15	0.4
0.15	0.38
0.14	0.38
0.14	0.37
0.14	0.37
0.14	0.37
0.13	0.37
0.13	0.37
0.13	0.37
0.13	0.36
0.13	0.36
0.13	0.36
0.12	0.36
0.12	0.34
0.12	0.34
0.12	0.34
0.11	0.33
0.11	0.32
0.11	0.32
0.11	0.3
0.11	0.29
0.11	0.28
0.11	0.27
0.11	0.27
0.1	0.27
0.09	0.25
0.09	0.23
0.09	0.22
0.09	0.21
0.09	0.2
0.09	0.2
0.09	0.19
0.08	0.19
0.08	0.18
0.08	0.18
0.07	0.17
0.06	0.17
0.05	0.17
0.04	0.17
0.04	0.17
0.04	0.17
0.03	0.16
0.02	0.16
0.02	0.16
0.02	0.16
0.02	0.15
0.02	0.14
0.02	0.14
0.02	0.14
0.02	0.14
0.02	0.14
0.02	0.12
0.02	0.12
0.02	0.12
0.01	0.12
0.01	0.12
0.01	0.12
0.01	0.12
0.01	0.12
0.01	0.12
0.01	0.12
0.01	0.12
0.01	0.12
0.01	0.11
0.01	0.1
0.01	0.09
0.01	0.07
0.01	0.07
0.01	0.07
0.01	0.07
0.01	0.07
0.01	0.07
0.01	0.07
0.01	0.07
0.01	0.07
0.01	0.07
0.01	0.07
0.01	0.06
0.01	0.06
0.01	0.06
0.01	0.05
0.01	0.05
0.01	0.05
0.01	0.05
0.01	0.05
0.01	0.05
0.01	0.05
0.01	0.03
0.01	0.03
0.01	0.03
0.01	0.03
0.01	0.03
0.01	0.03
0.01	0.02
0.01	0.02
0.01	0.02
0.01	0.02
0.01	0.02
0.01	0.01
0.01	0.01
0.01	0.01
0.01	0.01
0.01	0.01
0.01	0.01
0.01	0.01
0.01	0.01
0.01	0.01
0.01	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.01
0.0	0.0
0.0	0.0
